 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
10177903;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;252.974,66;540.000,00;53.16;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
10206716;SP ;ADAMANTINA ;1;RUA PERU, N. 249, Apto 23, JD TRES MARIAS ;410.244,02;670.000,00;38.77;Apartamento, 0.00 de área total, 167.60 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10206716
1,55552E+12;SP ;ADOLFO ;CHACARA SOBRADINHO ;RUA AGOSTINHO RODRIGUES, N. 1667, LOTE 47 ;305.910,86;480.000,00;36.27;Casa, 0.00 de área total, 211.12 de área privativa, 2118.95 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555521851798
1,44442E+12;SP ;AGUAI ;PARQUE DAS PALMEIRAS ;RUA JOAO AZEVEDO BORGES, N. 238, ;249.693,30;230.000,00;0.00;Casa, 79.90 de área total, 79.90 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417285526
8,44443E+12;SP ;AGUAI ;JARDIM FLAMBOYANT ;RUA ADELINO MIGUEL, N. SN, LT 19, QD E ;149.883,15;104.000,00;0.00;Casa, 56.38 de área total, 56.38 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425347959
8,44441E+12;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;153.487,18;250.671,32;38.77;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405322578
1,44442E+12;SP ;AGUAS DE LINDOIA ;FRANCOS ; RUA JOÃO CAMILO DE GODOI, N. 120, LT 13 QD H ;190.000,00;190.000,00;0.00;Casa, 50.00 de área total, 50.00 de área privativa, 218.59 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415723992
1,44441E+12;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO MISSISSIPI, N. 315, LT 31 QD 21 ;191.194,29;300.000,00;36.27;Casa, 0.00 de área total, 178.15 de área privativa, 1010.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408171750
8,44442E+12;SP ;AGUDOS ;PARQUE PAMPULHA ;RUA BUDAPEST, N. 556, QD 56 LT 15 ;168.000,00;168.000,00;0.00;Casa, 0.00 de área total, 60.60 de área privativa, 187.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420371410
8,4444E+12;SP ;ALVARES MACHADO ;CONJ ALVARES MACHADO ;RUA LUIZ GONZAGA OLIVEIRA  ANTIGO, N. 139, Apto ., LT 30 QD E ;90.884,38;178.000,00;48.95;Casa, 0.00 de área total, 140.00 de área privativa, 170.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402715196
